Tidak Baku,Baku
ribettapi,ribet tapi
ribettidak,ribet tidak
ribettolong,ribet tolong
ribettt,ribet
ribetttt,ribet
ribettttt,ribet
ribetttttt,ribet
ribetudah,ribet sudah
ribetyg,ribet yang
riebt,ribet
riil,rill
ripuuuuhhh,ripuh
rmh,rumah
rmhmau,rumah mau
rp,rupiah
rpliter,rupiah liter
rudet,ruwet
rudetna,ruwetnya
rudeut,ruwet
ruet,ruwet
rugibarkot,rugi barcode
rugihasil,rugi hasil
rugiiiiiiiiiiiiiiiiii,rugi
rumet,rumit
rumh,rumah
rumiiiit,rumit
rumitmau,rumit mau
rumitsulit,rumit sulit
rumitttttttttbelat,rumit belat
runitnya,rumitnya
ruwed,ruwet
ruweeeeet,ruwet
ruweeetttt,ruwet
ruweettt,ruwet
ruwetmasa,ruwet masa
ruwett,ruwet
ruwetttt,ruwet
ruwetudah,ruwet sudah
sabaar,sabar
saia,saya
sajaaturan,saja aturan
sajabahkan,saja bahkan
sajakurang,saja kurang
sajasama,saja sama
sajasok,saja sok
sajaterimaksih,saja terima kasih
salahapk,salah aplikasi
salahga,salah tidak
salahgunakan,salah gunakan
salahjd,salah jadi
salahkalau,salah kalau
salahngabisin,salah ngabisin
salahrubah,salah ubah
salahweleh,salah weleh
saldi,saldo
samaidentitas,sama identitas
samaknp,sama kenapa
samasekali,sama sekali
samaskali,sama sekali
same,sama
sampaahhhhhhhh,sampah
sampahga,sampah tidak
sampahh,sampah
sampahkayanya,sampah kayaknya
sampahkekayaan,sampah kekayaan
sampahmasyarakat,sampah masyarakat
sampahtdk,sampah tidak
sampe,sampai
sampek,sampai
samph,sampah
samrt,sama rata
sanagt,sangat
sandilu,sandi kamu
sandimau,sandi mau
sandinyamau,sandinya mau
sanfi,sandi
sangaaaaat,sangat
sangan,sangat
sangant,sangat
sangatmembingungkan,sangat membingungkan
sanggat,sangat
sangt,sangat
sante,santai
sarankn,sarankan
sasaranfakta,sasaran fakta
sasaranlanjutankanselalu,sasaran lanjutkan selalu
sasaranplease,sasaran please
sasaransemoga,sasaran semoga
saumpama,seumpama
sayaang,sayang
sayabagaimana,saya bagaiman
sayabaru,saya baru
sayaeh,saya eh
sayah,saya
sayakalian,saya kalian
sayapusing,saya pusing
sbagai,sebagai
sbagainyagua,sebagainya saya
sbelah,sebelah
sblm,sebelum
sblmnya,sebelumnya
sblum,sebelum
sblumnya,sebelumnya
sbnrnya,sebenarnya
sbpu,spbu
scankonyol,scan konyol
scannyapake,scannya pakai
scantapi,scan tapi
scen,scan
scr,secara
scra,secara
sdah,sudah
sdang,sedang
sdangkan,sedangkan
sdh,sudah
sdng,sedang
sdng kan,sedangkan
sdngkan,sedangkan
sebelume,sebelumnya
sebelumnyafitur,sebelumnya fitur
sebenarny,sebenarnya
sebenernya,sebenarnya
secroll,scroll
sedikitsedikit,sedikit sedikit
seenaknye,seenaknya
segalamana,segala mana
segla,segala
sekaliandg,sekalian dengan
sekaliaplikasi,sekali aplikasi
sekalicoba,sekali coba
sekalidan,sekali dan
sekaliembel,sekali embel
sekaliseharus,sekali seharus
sekalisudah,sekali sudah
sekalitapi,sekali tapi
sekalitlg,sekali tolong
sekarangsya,sekarang saya
sekelah,sekelas
sekelan,sekalian
sekrang,sekarang
sekrg,sekarang
selanjute,selanjutnya
selanjutnyaklo,selanjutnya kalau
selatanindonesia,selatan indonesia
selelu,selalu
selepaas,selepas
selosai,selesai
selsai,selesai
selugagal,selalu gagal
semejak,semenjak
semggaknya,setidaknya
seminggubarcode,seminggu barcode
sempet,sempat
semuaa,semua
semuabe,semua be
semuabintang,semua bintang
semuaehh,semua eh
semuaharus,semua harus
semuakalau,semua kalau
semuarugi,semua rugi
semuatrus,semua terus
semuga,semoga
sendiriapa,sendiri apa
sendirijawab,sendiri jawab
sendirimohon,sendiri mohon
sendiripadahal,sendiri padahal
sendirisekelas,sendiri sekelas
sendirisetresss,sendiri stress
sendirisudah,sendiri susah
seolaholah,seolah olah
seorg,seorang
separosiapa,separuh siapa
seponsornya,sponsornya
servise,service
sesah,resah
sesuaifoto,sesuai foto
sesuaiknpa,sesuai kenapa
sesuaipadahal,sesuai padahal
setabil,stabil
setalah,setelah
setengahsetengah,setengah setemgah
setial,setiap
sewaktuwaktu,sewaktu waktu
sgala,segala
sgl,segala
sgla,segala
sgt,sangat
sharusnya,seharusnya
sheal,shell
sheel,shell
shg,sehingga
shll,shell
siaap,siap
siallll,sial
sich,sih
sichtinggql,sih tinggal
sieh,sih
sihcukup,sih cukup
sihh,sih
sihhh,sih
sihkatanya,sih katanya
siiip,sip
siip,sip
siiplahmakasih,siplah terima kasih
sikendaraan,si kendaraan
sikyal,signal
simpel,simple
simpl,simple
simtemnya,sistemnya
singkron,sinkron
sinyal,signal
sipelaku,si pelaku
sisitem,sistem
sistemaplikasi,sistem aplikasi
sistembisnis,sistem bisnis
sistemerrornya,sistem errornya
sistemnyakeluhan,sistemnya keluhan
sistim,sistem
sistrm,sistem
sj,saja
sja,saja
skali,sekali
skaliini,sekali ini
skarang,sekarang
skg,sekarang
skil,skill
skli,sekali
skr,sekarang
skrang,sekarang
skrg,sekarang
skrgdaftar,sekarang daftar
skrng,sekarang
slah,salah
slalu,selalu
slamet,selamat
slanjutnya,selanjutnya
slesai,selesai
sll,selalu
sllu,selalu
slsai,selesai
slslu,selalu
sm,sama
sma,sama
smakin,semakin
smasmk,sma smk
smg,semoga
smk,smk
smntra,sementara
smoga,semoga
smpai,sampai
smpaikan,sampaikan
smpe,sampai
smpek,sampai
smpi,sampai
smsdidaftar,sms didaftar
smsny,smsnya
smua,semua
smw,semua
snagat,sangat
sndiri,sendiri
sndri,sendiri
sngat,sangat
sngt,sangat
snk,stnk
snksedangkan,stnk sedangkan
sntk,stnk
soaal,soal
soalny,soalnya
sokn,sok
solah,solar
solaraku,solar saya
solarbaru,solar baru
solargk,solar tidak
solarkami,solar kami
solarkok,solar kok
solaruntuk,solar untuk
solas,solar
solat,solar
solisi,sulusi
sollar,solar
solusinopol,solusi nopol
solusinyasaya,solusinya saya
soper,supir
sopir,supir
sopsidi,subsidi
spa,siapa
spamjunk,spam junk
spbubisa,spbu bisa
spbudan,spbu dan
spbuharus,spbu harus
spbumalah,spbu malah
spbunyaklu,spbunya kalau
spbupas,spbu puas
spbutiba,spbu tiba
spbuy,spbunya
sperti,seperti
spi,sepi
spir,supir
sppu,spbu
sprti,seperti
spt,seperti
ssah,susah
ssuatu,sesuatu
stabilwoyyyyyy,stabil woy
standar,standard
stdakny,setidaknya
stelah,setelah
stiap,setiap
sticker,stiker
stlah,setelah
stlh,setelah
stnkmobil,stnk mobil
stres,stress
stresss,stress
stressss,stress
stresssssss,stress
stupun,satupun
subdidi,subsidi
subsididah,subsidi dah
subsidimm,subsidi mm
subsidisedangkan,subsidi sedangkan
subsiditepat,subsidi tepat
subsiditepatmypertamina,subsidi tepat mypertamina
subsiditerimakasih,subsidi terima kasih
subsiditolol,subsidi tolol
subsisi,subsidi
suda,sudah
sudahhhhhhh,sudah
sudaj,sudah
sudh,sudah
sudhbterdftar,sudah terdaftar
sukak,suka
sukangambil,suka ngambil
suksesaamiin,sukses aamiin
suliiiiitt,sulit
sulitentahlah,sulit entahlah
sulitgak,sulik tidak
sulitmendapatkan,sulit mendapatkan
sulittolonglahkebijakan,sulit tolonglah kebijakan
sulittt,sulit
sulityang,sulit yang
sullit,sulit
sumatera,sumatra
sunggu,sungguh
sungguhsungguh,sungguh sungguh
sunguh,sungguh
superrrr,super
supirtruk,supir truk
suport,support
supsidi,subsidi
supsisidi,subsidi
suru,suruh
survei,survey
susa,susah
susahbiar,susah biar
susahbuat,susah buat
susahbukan,susah bukan
susahdan,susah dan
susahdata,susah data
susahdi,susah di
susahh,susah
susahhh,susah
susahhhga,susah tidak
susahhhh,susah
susahhhhhhhhhhhhhhh,susah
susahintinya,susah intinya
susahjangan,susah jangan
susahkalau,susah kalau
susahkapan,susah kapan
susahkode,susah kode
susahmasuk,susah masuk
susahmenyusahkan,susah menyusahkan
susahnunggu,susah nunggu
susahratingnya,susah ratingnya
susahribed,susah ribet
susahribet,susah ribet
susahsemua,susah semua
susahsusah,susah susah
susahupload,susah upload
susailah,sesuailah
susaj,susah
sush,susah
susidi,subsidi
suskses,sukses
swtelah,setelah
sy,saya
sya,saya
syaa,saya
syg,sayang
syiap,siap
sync,sinkron
system,sistem
systemnya,sistemnya
sytjipto,saya tjipto
syuliiiiiittttt,sulit
syulit,sulit
tadino,tadi nomor
taee,taik
taeeeexxxx,taik
taeh,taik
taek,taik
taekk,taik
taiii,tali
taikisi,taik isi
taikkk,taik
taikkkkaplisak,taik aplikasi
taikotak,taik otak
tamba,tambah
tanapa,tanpa
tangkine,tangkinya
tansaksi,transaksi
tarikgk,tarik
tarjadi,terjadi
taruma,trauma
tau,tahu
taxi,taksi
taxol,taksi
tbtb,tiba tiba
tdak,tidak
tdi,tadi
tdk,tidak
tdnya,tadinya
te,the
tea,the
team,tim
tee,the
tehnologi,teknologi
telephone,telepon
telfon,telepon
telp,telepon
telpon,telepon
temen,teman
temukanapa,temu kenapa
tenyata,ternyata
tepatklo,tepat kalau
teralalu,terlalu
terbacapdhal,terbaca padahal
terbacayg,terbaca yang
terblokirr,terblokir
terburuburu,terburu buru
tercintaterima,tercinta terima
terdadtar,terdaftar
terdafatar,terdaftar
terdaftardaftar,terdaftar daftar
terdaftardzolim,terdaftar dzalim
terdaftargimna,terdaftar gimana
terdaftarklu,terdaftar kalau
terdaftarlahuntungnya,terdaftarlah untungnya
terdaftarmeski,terdaftar meski
terdaftarpadahal,terdaftar padahal
terdaftarpunya,terdaftar punya
terdaftaryg,terdaftar yang
terdahtar,terdaftar
terdaptar,terdaftar
terdftar,terdaftar
terfaftar,terdaftar
terferifikasi,terverifikasi
terferivikasi,terverifikasi
terferivikasipadahal,terverifikasi padahal
tergangguterhambat,terganggu terhormat
terhadi,terjadi
terimah,terima
terimakash,terima kasih
terimakasih,terima kasih
terimakasiih,terima kasih
terimaksih,terima kasih
terimasekarang,terima sekarang
terkaik,terkait
terkaitsudah,terkait sudah
terkoneksidaftar,terkoneksi daftar
terkonfirm,terkonfirmasi
ternganu,ter nganu
teroooss,terus
teroos,terus
terosss,terus
terosssss,terus
terpakaipeetaminaku,terpakai
terpakasa,terpaksa
terppq,ter pepek
ters,terus
tersusahterpayahterjelek,tersusah terpayah terjelek
tersusmohon,terus mohon
terusdbuka,terus dibuka
terusdiklik,terus diklik
terusini,terus sini
terusmaupun,terus maupun
terusmelalui,terus melalui
teruspaswod,terus password
teruspusiiiinnggg,terus pusing
terusribet,terus ribet
teruss,terus
terusss,terus
terusterlalu,terus terlalu
terustulisan,terus tulisan
teruuss,terus
terverivikasi,terverifikasi
test,tes
tetekbengek,tetek bengek
tetep,tetap
tetp,tetap
tgl,tanggal
tgljuni,tanggal juni
tgu,tunggu
th,tahun
thanks,terima kasih
thankyou,terima kasih
thd,terhadap
thn,tahun
thnx,tahunnya
thottt,thott
thq,terima kasih
thun,tahun
thx,terima kasih
tibatiba,tiba tiba
tida,tidak
tidakbisa,tidak bisa
tidakkenapa,tidak kenapa
tidakmendapatkan,tidak mendapatkan
tidakny,tidaknya
tidal,tidak
tidk,tidak
tiklo,taik kalau
tingal,tinggal
tinggaleun,tinggal 
tipi,televisi
tiwas,tewas
tks,terima kasih
tlfn,telepon
tlg,tolong
tlng,tolong
tlong,tolong
tlp,telepon
tlpn,telepon
tmbalban,tambal ban
tmen,teman
tmpilan,tampilan
tmpt,tempat
tnya,tanya
tobatt,tobat
toddd,tod
tokoh,toko
tolakapa,tolak apa
tolakpadahal,tolak padahal
tololllll,tolol
tolongmau,tolong mau
tolongterima,tolong terima
tolooong,tolong
tongsambungkan,tong sambungkan
toooo,too
tottt,tod
toup,top up
tp,tapi
tp,tapi
tpi,tapi
tq,terima kasih
tqpi,tapi
tracing,tracking
trahir,terakhir
trakasih,terima kasih
traksaksi,transaksi
tranfer,transfer
tranparansi,transparansi
transaksikuota,transaksi kuota
transaksipadahal,transaksi padahal
transaksipdhl,transaksi padahal
trdaftar,terdaftar
trdaftarmnta,terdaftar minta
trdaftarsedangkan,terdaftar sedangkan
trdftar,terdaftar
triliun,triliun
trima,terima
trimakasih,terima kasih
trimaksi,trima kasih
trimaksih,terima kakasih
trims,terima kasih
trkdng,gimana terkadang
trllu,terlalu
trms,terima kasih
trnyata,ternyata
trobel,trouble
trobosan,terobosan
trosss,terus
trrdaftarlahpasword,terdaftarlah password
trs,terus
trsdi,terus di
trserah,terserah
trsidjia,terus ijia
trtibkn,tertibkan
truck,truk
trus,terus
trusbisa,terus bisa
trusnyuruh,terus nyuruh
truss,terus
trusss,terus
trussss,terus
truzzzz,terus
tsb,tersebut
tsutsahh,susah
ttp,tetap
tu,itu
tuajaman,tua zaman
tuhapa,tuh apa
tujuane,tujuannya
tuk,untuk
tukarudah,tukar sudah
tuker,tukar
tulong,tolong
tulung,tolong
tunaiapalagi,tunai apalagi
tunaiitu,tunai itu
ualan,jualan
uangpemimpin,uang pemimpin
ubunkeluhan,ubun keluhan
uda,sudah
udah,sudah
udah,sudah
udahh,sudah
udahlah,sudahlah
uddah,sudah
udh,sudah
uiux,ui ux
ujungna,ujungnya
ujungujungnya,ujung ujungnya
ulangbarcode,ulang barcode
umumkalo,umum kalau
uninstal,uninstall
uninstalllll,uninstall
unmasa,un masa
unstal,install
unt,untuk
untk,untuk
untu,untuk
up date,update
upadate,update
updateapl,update aplikasi
updategk,update tidak
updatemau,uodate mau
updatenya,updatenya
updates,update
updateupdate,update update
updet,update
upgrad,upgrade
upgrade,upgrade
upgradenya,upgradenya
uploaf,upload
uplod,upload
uploud,upload
uploup,upload
uptudate,update
urang,orang
urkuran,ukuran
userfriendly,user friendly
usetapi,use tapi
ush,usah
utakatik,utak atik
utang,hutang
utk,untuk
utuk,untuk
validudah,valid sudah
verfikasi,verifikasi
verif,verifikasi
verification,verifikasi
verifikasikode,verifikasi kode
verifikasinyasangat,verifikasinya sangat
verifikasisampai,verifikasi sampai
verifikasiskr,verifikasi sekarang
verifikasiy,verifikasinya
verifilasi,verifikasi
verifukasinya,verifikasinya
verikasi,verifikasi
verivikas,verifikasi
verivikasi,verifikasi
verivikasinya,verifikasinya
verivikasitapi,verifikasi tapi
vertivikasi,vertifikasi
vnda,anda
vocer,voucher
vocher,voucher
vochernya,vouchernya
wahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha,wahaha
wajibka,wajib ka
wakakakak,wakakak
waktubikin,waktu buat
waktukasihan,waktu kasihan
walet,wallet
wargasemua,warga semua
warkod,barcode
wasilitas,fasilitas
wassap,whatsapp
web,website
webnya,websitenya
weebsite,website
weeeeh,weeh
weees,weeh
weh,weeh
wei,woi
wek,weeh
wenang,renang
wes,wess
wesss,wess
wew,wow
wez,wez
wifikuota,wifi kuota
winn,win
wkekek,wkwk
wkt,waktu
wktu,waktu
wkwkkw,wkwk
wkwkw,wkwk
wkwkwk,wkwk
wkwkwkkk,wkwk
wkwkwkw,wkwk
wkwkwkwk,wkwk
wlp,walaupun
woi,woi
woii,woi
wort,word
woy,woi
woyy,woi
woyyyyyyy,woi
ws,win streak
wulandari,wulandari
yaa,ya
yaaa,ya
yaaak,ya
yademi,ya demi
yaelah,yaelah
yah,ya
yahaduh,ya haduh
yahh,ya
yahudah,ya sudah
yajawabannya,ya jawabannya
yak,ya
yamasak,ya masak
yamasalahnya,ya masalahnya
yaperasaan,ya perasaan
yaps,yap
yaqin,yakin
yasampaj,ya sampai
yatik,yatik
yaudah,ya sudah
yaulasan,ya ulasan
yayayayay,yayay
years,year
yes,yes
yg,yang
ygvkasih,yang kasih
yh,yah
yha,yah
yng,yang
yoo,yo
yth,yang terhormat
zaman,zaman
zonk,zonk
zonktidak,zonk tidak
